Date,Price,Open,High,Low,Chg%
30-Jul-18,29745,29705,29792,29687,-0.12%
27-Jul-18,29780,29750,29825,29652,-0.03%
26-Jul-18,29788,29841,29904,29771,-0.42%
25-Jul-18,29915,29811,29988,29791,0.17%
24-Jul-18,29863,29845,29932,29731,-0.03%
23-Jul-18,29872,29921,29984,29825,-0.16%
20-Jul-18,29920,29800,29960,29733,0.12%
19-Jul-18,29885,29800,29945,29658,0.40%
18-Jul-18,29766,29751,29780,29638,0.12%
17-Jul-18,29729,30019,30087,29701,-1.17%
16-Jul-18,30080,30177,30225,30060,-0.08%
13-Jul-18,30105,30146,30183,30014,-0.14%
12-Jul-18,30147,30240,30290,30137,-0.54%
11-Jul-18,30310,30479,30515,30291,-0.71%
10-Jul-18,30528,30650,30655,30404,-0.29%
09-Jul-18,30617,30611,30778,30600,0.19%
06-Jul-18,30560,30737,30737,30546,-0.29%
05-Jul-18,30650,30617,30718,30545,0.12%
04-Jul-18,30614,30561,30650,30531,0.40%
03-Jul-18,30493,30321,30573,30244,0.67%
02-Jul-18,30289,30399,30518,30270,-0.47%
29-Jun-18,30432,30460,30505,30356,-0.25%
28-Jun-18,30508,30669,30689,30475,-0.61%
27-Jun-18,30695,30530,30720,30516,0.46%
26-Jun-18,30554,30628,30641,30452,-0.34%
25-Jun-18,30657,30655,30738,30621,0.15%
22-Jun-18,30610,30567,30656,30551,-0.02%
21-Jun-18,30616,30750,30750,30515,-0.54%
20-Jun-18,30781,30870,30885,30757,-0.36%
19-Jun-18,30891,31035,31098,30875,-0.27%
18-Jun-18,30974,30975,31026,30929,-0.12%
15-Jun-18,31010,31393,31424,30958,-1.17%
14-Jun-18,31377,31192,31418,31192,0.75%
13-Jun-18,31143,31141,31187,31107,-0.04%
12-Jun-18,31156,31173,31208,31075,-0.19%
11-Jun-18,31216,31186,31260,31075,0.00%
08-Jun-18,31215,31153,31334,31060,0.07%
07-Jun-18,31193,30950,31216,30943,1.08%
06-Jun-18,30861,30981,31024,30840,0.73%
05-Jun-18,30637,30670,30680,30600,-0.16%
04-Jun-18,30685,30700,30704,30540,0.46%
01-Jun-18,30546,30704,30777,30500,-0.92%
31-May-18,30831,31066,31113,30785,-0.66%
30-May-18,31035,31150,31150,30926,-0.49%
29-May-18,31188,31050,31325,31025,0.73%
28-May-18,30963,31150,31150,30888,-0.72%
25-May-18,31189,31370,31428,31165,-0.91%
24-May-18,31474,31258,31510,31238,0.93%
23-May-18,31183,31125,31389,31095,0.24%
22-May-18,31108,31100,31160,30990,-0.01%
21-May-18,31112,31040,31127,30912,0.07%
18-May-18,31091,30944,31110,30944,0.36%
17-May-18,30978,30976,30995,30851,-0.06%
16-May-18,30997,31160,31160,30925,-0.57%
15-May-18,31175,31450,31516,31161,-1.04%
14-May-18,31504,31450,31579,31384,-0.04%
11-May-18,31518,31380,31570,31363,0.49%
10-May-18,31365,31353,31487,31241,0.18%
09-May-18,31309,31250,31375,31163,0.32%
08-May-18,31210,31228,31252,31078,-0.15%
07-May-18,31258,31150,31310,31150,0.46%
04-May-18,31114,31020,31139,30990,0.22%
03-May-18,31046,30941,31122,30878,0.39%
02-May-18,30925,31014,31014,30901,-0.01%
01-May-18,30929,30950,30971,30865,-0.34%
30-Apr-18,31036,31170,31170,30925,-0.56%
27-Apr-18,31211,31166,31277,31126,-0.13%
26-Apr-18,31252,31332,31372,31183,-0.49%
25-Apr-18,31406,31417,31430,31329,0.11%
24-Apr-18,31372,31257,31395,31203,0.30%
23-Apr-18,31277,31370,31385,31211,-0.49%
20-Apr-18,31432,31522,31564,31396,-0.53%
19-Apr-18,31598,31567,31620,31430,0.20%
18-Apr-18,31534,31350,31591,31291,0.48%
17-Apr-18,31383,31272,31396,31190,0.27%
16-Apr-18,31298,31200,31355,31155,0.58%
13-Apr-18,31118,31031,31185,30870,0.37%
12-Apr-18,31002,31306,31335,30965,-1.13%
11-Apr-18,31355,30950,31562,30931,1.47%
10-Apr-18,30900,30701,30936,30675,0.46%
09-Apr-18,30759,30659,30779,30642,0.21%
06-Apr-18,30694,30640,30749,30500,0.72%
05-Apr-18,30476,30650,30700,30350,-0.80%
04-Apr-18,30722,30765,30970,30550,0.29%
03-Apr-18,30634,30681,30899,30582,-0.96%
02-Apr-18,30931,30545,30995,30521,1.72%
29-Mar-18,30408,30546,30550,30378,-0.37%
28-Mar-18,30521,30775,30775,30500,-0.58%
27-Mar-18,30699,30864,30904,30664,-0.66%
26-Mar-18,30902,30855,30929,30760,-0.02%
23-Mar-18,30907,30625,30950,30625,1.36%
22-Mar-18,30493,30530,30615,30465,0.14%
21-Mar-18,30449,30270,30525,30251,0.61%
20-Mar-18,30263,30351,30356,30185,-0.51%
19-Mar-18,30418,30180,30439,30095,0.64%
16-Mar-18,30224,30255,30349,30145,-0.25%
15-Mar-18,30299,30433,30473,30264,-0.35%
14-Mar-18,30405,30420,30546,30356,0.09%
13-Mar-18,30377,30322,30409,30237,0.15%
12-Mar-18,30332,30403,30427,30267,-0.23%
09-Mar-18,30401,30384,30470,30280,-0.09%
08-Mar-18,30429,30477,30546,30396,-0.15%
07-Mar-18,30474,30650,30650,30394,-0.32%
06-Mar-18,30573,30397,30687,30362,0.73%
05-Mar-18,30352,30460,30548,30341,-0.32%
02-Mar-18,30448,30250,30528,30250,0.94%
01-Mar-18,30165,30320,30320,30119,-0.70%
28-Feb-18,30379,30310,30446,30287,0.28%
27-Feb-18,30295,30540,30610,30272,-0.77%
26-Feb-18,30531,30526,30644,30501,0.07%
23-Feb-18,30509,30501,30525,30427,-0.21%
22-Feb-18,30573,30459,30590,30400,0.32%
21-Feb-18,30476,30451,30539,30387,-0.18%
20-Feb-18,30532,30629,30774,30511,-0.68%
19-Feb-18,30742,30763,30792,30725,-0.24%
16-Feb-18,30816,30650,30839,30650,0.78%
15-Feb-18,30579,30641,30681,30531,-0.15%
14-Feb-18,30624,30250,30687,30043,1.34%
13-Feb-18,30218,30200,30250,30102,0.22%
12-Feb-18,30152,30118,30178,30030,0.48%
09-Feb-18,30009,30055,30102,29891,-0.33%
08-Feb-18,30107,29950,30173,29805,0.37%
07-Feb-18,29995,30223,30250,29972,-0.64%
06-Feb-18,30187,30350,30714,30165,-0.25%
05-Feb-18,30262,30420,30420,30222,-0.35%
02-Feb-18,30367,30660,30720,30244,-0.45%
01-Feb-18,30505,30189,30570,30041,1.29%
31-Jan-18,30117,30069,30167,30052,0.22%
30-Jan-18,30052,29978,30170,29954,-0.03%
29-Jan-18,30060,30150,30150,29980,-0.99%
25-Jan-18,30361,30300,30464,30170,0.37%
24-Jan-18,30249,29935,30291,29916,1.13%
23-Jan-18,29911,29873,29932,29781,0.26%
22-Jan-18,29834,29699,29863,29699,0.27%
19-Jan-18,29755,29601,29780,29595,0.37%
18-Jan-18,29645,29650,29700,29550,-0.38%
17-Jan-18,29757,29801,29829,29680,-0.22%
16-Jan-18,29822,29799,29850,29740,0.24%
15-Jan-18,29752,29600,29779,29600,0.69%
12-Jan-18,29547,29450,29580,29420,0.53%
11-Jan-18,29390,29309,29406,29293,0.23%
10-Jan-18,29324,29135,29430,29121,0.58%
09-Jan-18,29156,29258,29267,29140,-0.36%
08-Jan-18,29261,29193,29299,29165,0.15%
05-Jan-18,29217,29250,29284,29155,-0.04%
04-Jan-18,29230,29187,29245,29061,0.02%
03-Jan-18,29225,29193,29270,29165,0.22%
02-Jan-18,29162,29150,29225,29111,0.13%
01-Jan-18,29123,29160,29184,29101,-0.11%
29-Dec-17,29156,29030,29175,28955,0.50%
28-Dec-17,29012,28970,29078,28910,0.24%
27-Dec-17,28942,28805,28959,28805,0.39%
26-Dec-17,28829,28676,28839,28676,0.61%
22-Dec-17,28653,28484,28666,28465,0.53%
21-Dec-17,28501,28502,28550,28433,0.03%
20-Dec-17,28493,28452,28524,28438,0.31%
19-Dec-17,28405,28462,28494,28374,-0.23%
18-Dec-17,28470,28358,28490,28291,0.76%
15-Dec-17,28254,28273,28399,28205,-0.22%
14-Dec-17,28317,28365,28429,28221,0.43%
13-Dec-17,28195,28200,28254,28102,0.19%
12-Dec-17,28142,28365,28368,28055,-0.72%
11-Dec-17,28347,28535,28535,28334,-0.65%
08-Dec-17,28533,28650,28650,28471,-0.47%
07-Dec-17,28667,28916,28924,28653,-1.04%
06-Dec-17,28967,28960,29046,28931,0.12%
05-Dec-17,28932,29068,29109,28800,-0.33%
04-Dec-17,29027,29029,29187,29000,-0.62%
01-Dec-17,29209,29099,29269,29040,0.68%
30-Nov-17,29012,29205,29276,28950,-0.72%
29-Nov-17,29223,29438,29457,29200,-0.58%
28-Nov-17,29393,29480,29489,29368,-0.35%
27-Nov-17,29497,29430,29533,29410,0.40%
24-Nov-17,29380,29507,29527,29367,-0.20%
23-Nov-17,29439,29515,29533,29410,-0.31%
22-Nov-17,29530,29324,29549,29285,0.62%
21-Nov-17,29347,29408,29440,29276,-0.08%
20-Nov-17,29370,29646,29725,29344,-1.08%
17-Nov-17,29690,29420,29725,29351,0.63%
16-Nov-17,29503,29501,29536,29445,-0.07%
15-Nov-17,29525,29600,29745,29500,-0.33%
14-Nov-17,29622,29502,29662,29427,0.04%
13-Nov-17,29611,29482,29624,29463,0.41%
10-Nov-17,29491,29625,29696,29466,-0.57%
